NBHD,LIVEAREA,FINBSMNT,BASEMENT,CONDITION,CONDITION_ADJ,QUALITY,NOCARS,NUMBDRM,NUMBATHS,NETPRICE
715,2558,0,0,Good,1,B,0,2,3,1025000
711,3176,250,313,Good,1,B,5,4,3,852000
712,3179,1474,1972,AVG,0,B,2,4,4,730611
713,2291,2176,2291,Good,1,B,2,2,3,675000
713,2740,1020,1396,Good,1,B,2,3,4,655000
711,2618,884,1474,AVG,0,B,3,3,3,599300
712,2406,1535,2354,AVG,0,B,2,2,4,594099
715,2231,0,0,Good,1,B,0,2,3,590000
712,2700,0,1332,AVG,0,B,3,4,3,586500
712,3199,1474,1972,AVG,0,B,2,4,4,578300
711,2410,873,873,AVG,0,B,2,3,4,572000
712,2684,0,1332,AVG,0,B,3,4,3,562023
712,2585,0,1841,AVG,0,B,2,3,3,549200
711,2476,0,0,AVG,0,B,2,3,3,540000
713,2512,1102,1328,Good,1,B,2,2,4,540000
717,2288,1232,1322,Good,1,B,2,4,4,527200
713,2291,2062,2291,AVG,0,B,2,2,3,526824
713,2291,1144,2291,Good,1,B,2,2,3,525000
711,2289,1081,1201,AVG,0,B,2,3,4,521900
711,1923,916,964,Good,1,B,2,2,3,515000
713,1864,1145,1245,Good,1,B,2,2,4,510000
711,2255,774,1290,AVG,0,B,2,3,3,504000
715,1999,0,0,AVG,0,B,0,2,3,502500
712,2473,0,1410,AVG,0,B,2,2,3,487500
716,2703,677,713,Good,1,B,2,4,4,486000
716,2925,742,742,Good,1,B,2,3,3,485000
713,1828,1235,1300,Good,1,B,2,2,3,480000
711,2250,874,1248,AVG,0,B,2,3,3,475000
715,1568,0,0,AVG,0,B,0,2,2,450000
712,2289,684,1015,AVG,0,B,2,4,4,449100
713,2509,1511,1679,AVG,0,B,2,3,4,445900
715,1551,0,0,AVG,0,B,0,2,2,440000
716,2756,905,1392,AVG,0,B,2,4,3,437500
713,1828,1300,1300,AVG,0,B,2,2,3,435000
713,1828,1300,1300,Good,1,B,2,2,3,428800
712,2102,1052,1169,AVG,0,B,2,3,4,420000
717,2288,1232,1322,Good,1,B,2,4,4,420000
716,2844,0,739,AVG,0,B,2,5,3,417500
716,2844,0,739,AVG,0,B,2,5,3,417000
715,1560,0,0,AVG,0,B,0,2,2,412500
711,3010,351,717,AVG,0,B,2,3,4,411170
715,2841,0,0,Good,1,B,0,2,3,405900
