NBHD,LIVEAREA,FINBSMNT,BASEMENT,YRBUILT,CONDITION,QUALITY,STORIES,NUMBDRM,NUMBATHS,GARTYPE,ARCSTYLE,SPRICE,NETPRICE
674,1329,0,0,1956,Good,C,1,3,2,Att,ONE-STORY,248950,245450
674,2750,0,2080,2006,AVG,B,2,4,4,Att,TWO-STORY,640000,640000
674,907,0,0,1952,AVG,C,1,3,2,Det,ONE-STORY,205500,202000
674,2058,0,0,2012,AVG,B,2,3,3,Att,TWO-STORY,185500,185500
674,2058,0,0,2012,AVG,B,2,3,3,Att,TWO-STORY,185500,185500
674,954,0,0,1952,AVG,C,1,2,1,Det,ONE-STORY,211000,211000
674,1180,0,366,1953,AVG,C,1,3,2,Det,ONE-STORY,218000,216000
674,926,0,0,1953,AVG,C,1,2,1,Det,ONE-STORY,145000,145000
674,1026,0,0,1953,AVG,C,1,3,2,None,ONE-STORY,165000,165000
674,2336,0,0,1953,AVG,C,2,4,3,Att/Det,TWO-STORY,317500,317500
674,930,0,0,1953,AVG,C,1,3,1,Det,ONE-STORY,219900,214700
674,1212,0,0,1953,AVG,C,1,3,1,Att,ONE-STORY,193600,193600
674,763,0,0,1953,AVG,C,1,2,1,None,ONE-STORY,158000,158000
674,1687,0,0,1953,Good,C,1,3,1,None,ONE-STORY,300000,292949
674,930,0,0,1952,AVG,C,1,3,1,Att,ONE-STORY,198000,195700
674,930,0,0,1952,AVG,C,1,3,1,Att,ONE-STORY,117000,117000
674,1400,0,0,1955,AVG,C,1,3,1,Det,TRI-LEVEL,214000,214000
674,798,0,0,1953,AVG,C,1,2,1,Det,ONE-STORY,125500,125500
674,1534,0,0,1952,AVG,C,1,2,1,Att,ONE-STORY,213000,208000
674,1228,0,0,1952,AVG,C,1,3,1,Det,ONE-STORY,242000,237113
674,1227,0,0,1952,AVG,C,1,3,1,None,ONE-STORY,194500,189500
674,1333,0,0,1952,AVG,C,1,3,1,Att,ONE-STORY,222000,222000
674,859,0,0,1952,AVG,C,1,2,1,Att,ONE-STORY,210000,205575
674,859,0,0,1952,AVG,C,1,2,1,Att,ONE-STORY,125000,125000
674,1431,0,0,1952,AVG,C,1,2,1,Att,ONE-STORY,180000,180000
674,1225,0,0,1952,AVG,C,1,2,1,Att,ONE-STORY,117000,117000
674,1193,0,228,1952,AVG,C,1,2,1,Att,ONE-STORY,135911,132761
674,956,0,0,1952,AVG,C,1,3,1,Att,ONE-STORY,185000,180500
